,spatial_cluster,x_median,y_median
273,273,5384.38525390625,28587.923828125
274,274,8453.0498046875,17542.98046875
275,275,13995.1494140625,26462.32421875
276,276,11852.0771484375,16315.529296875
277,277,20220.228515625,18289.912109375
278,278,10213.337890625,16395.6875
279,279,16048.8876953125,17404.40625
280,280,24166.82421875,17877.85546875
281,281,21176.76953125,11358.4306640625
282,282,11983.8232421875,28670.97265625
283,283,28691.58984375,19573.625
284,284,25021.0078125,21830.44921875
285,285,5997.42333984375,13290.6015625
286,286,16712.96875,19371.77734375
287,287,9358.0126953125,28021.361328125
288,288,19525.916015625,26349.609375
289,289,19991.94140625,28836.2578125
290,290,21096.869140625,18260.611328125
291,291,19496.703125,26155.00390625
292,292,19380.546875,19342.705078125
293,293,19769.310546875,22380.56640625
294,294,14077.8251953125,29146.53515625
295,295,18751.9765625,25231.4921875
296,296,5151.951171875,27425.248046875
297,297,17378.5390625,12344.6708984375
298,298,24046.369140625,11720.23046875
299,299,3754.709716796875,21361.25
300,300,11823.6435546875,17298.9921875
301,301,23674.76171875,20343.95703125
302,302,24767.1875,17571.58203125
303,303,16363.7646484375,23895.265625
304,304,16545.828125,24968.662109375
305,305,14811.2265625,18583.0078125
306,306,13033.5576171875,19091.779296875
307,307,17855.455078125,19270.158203125
308,308,9581.669921875,13013.646484375
309,309,9638.75,18260.80078125
310,310,23191.818359375,24157.189453125
311,311,12521.7158203125,21625.6015625
312,312,13679.82421875,19576.17578125
313,313,11129.373046875,25802.890625
314,314,29147.78125,11786.53515625
315,315,27447.265625,26720.48046875
316,316,24788.419921875,17925.9296875
317,317,19850.5,15783.234375
318,318,7179.99609375,15674.8037109375
319,319,15259.9912109375,17173.8359375
320,320,15519.1171875,24895.091796875
321,321,20369.263671875,23265.712890625
322,322,27762.705078125,19776.677734375
323,323,17808.0390625,27150.912109375
324,324,18730.62890625,26831.5859375
325,325,5433.74853515625,12725.3095703125
326,326,5948.31494140625,12656.822265625
327,327,18997.90234375,22825.05078125
328,328,21873.9140625,17946.31640625
329,329,12188.5712890625,28210.025390625
330,330,14483.0234375,21824.95703125
331,331,26361.041015625,14129.271484375
332,332,29162.1953125,27307.724609375
333,333,15064.7548828125,16746.173828125
334,334,17118.380859375,17792.083984375
335,335,5231.060546875,21198.158203125
336,336,8679.6025390625,25144.982421875
337,337,7460.6923828125,11027.947265625
338,338,26209.830078125,21251.1484375
339,339,31110.37890625,21516.1875
340,340,19141.015625,19210.21484375
341,341,15308.90234375,19131.51953125
342,342,8257.392578125,23566.05078125
343,343,15269.8037109375,18947.421875
344,344,26369.130859375,19831.44140625
345,345,21042.35546875,22581.619140625
346,346,4846.45166015625,12088.7060546875
347,347,17831.4296875,22545.875
348,348,12277.5,18666.654296875
349,349,21166.28515625,18463.13671875
350,350,7125.6572265625,16150.728515625
351,351,10514.216796875,19245.47265625
352,352,6084.36767578125,13726.275390625
353,353,11451.109375,21965.9140625
354,354,8274.521484375,27080.740234375
355,355,20104.578125,24661.15625
356,356,25266.39453125,22313.83984375
357,357,20977.19140625,17958.380859375
358,358,12071.845703125,23703.111328125
359,359,22697.14453125,16538.505859375
360,360,11549.1220703125,18857.271484375
361,361,20178.904296875,22881.162109375
362,362,12982.443359375,28914.7890625
363,363,10984.546875,18900.3984375
364,364,7744.5859375,16687.59375
365,365,6275.7822265625,15999.02734375
366,366,15229.70703125,26041.3828125
367,367,4568.107421875,24362.44921875
368,368,24875.119140625,20197.359375
369,369,27888.2890625,20565.544921875
370,370,18489.7421875,20382.357421875
371,371,17064.984375,27488.4765625
372,372,10525.1708984375,20864.6328125
373,373,3547.66845703125,27309.765625
374,374,18035.08984375,24869.55859375
375,375,19571.6015625,24213.744140625
376,376,26345.91796875,20314.23828125
377,377,22907.80859375,18251.45703125
378,378,13688.779296875,12445.5537109375
379,379,14813.453125,14929.455078125
380,380,11093.4306640625,22738.431640625
381,381,21060.697265625,22912.990234375
382,382,10715.900390625,24261.166015625
383,383,31655.466796875,21115.806640625
384,384,3907.48828125,15563.7880859375
385,385,13754.1787109375,19368.283203125
386,386,8892.0859375,16536.1171875
387,387,9077.70703125,13860.7197265625
388,388,14966.8828125,24888.376953125
389,389,9612.6640625,27616.228515625
390,390,12994.376953125,17248.92578125
391,391,4656.38623046875,11707.529296875
392,392,13278.6904296875,19829.255859375
393,393,21392.703125,23313.16796875
394,394,8445.416015625,13916.55859375
395,395,10250.0234375,18176.310546875
396,396,22966.703125,22255.8515625
397,397,26444.42578125,23027.599609375
398,398,20276.849609375,22523.68359375
399,399,8106.939453125,26520.12109375
400,400,19570.533203125,16976.572265625
401,401,22015.419921875,17086.474609375
402,402,20364.47265625,25991.62109375
403,403,22519.513671875,22471.064453125
404,404,14144.33984375,24929.55078125
405,405,18221.66796875,17073.828125
406,406,27941.05078125,22292.53515625
407,407,20070.177734375,19001.05078125
408,408,20411.05859375,16434.259765625
409,409,14101.27734375,15567.2578125
410,410,5403.85888671875,14933.5244140625
411,411,31300.44140625,28964.943359375
412,412,23153.4140625,22109.62890625
413,413,21260.349609375,25341.609375
414,414,13938.732421875,16692.98046875
415,415,20594.81640625,20995.20703125
416,416,28237.759765625,18869.76171875
417,417,19833.28515625,20279.958984375
418,418,8922.1474609375,19890.53515625
419,419,18514.37890625,23163.453125
420,420,15889.341796875,22227.73828125
421,421,28877.46484375,29319.859375
422,422,9690.86328125,23722.27734375
423,423,10599.0751953125,15206.85546875
424,424,26883.4453125,21247.5
425,425,7723.3623046875,20056.4921875
426,426,14247.1796875,24729.865234375
427,427,20137.017578125,28283.845703125
428,428,3431.687255859375,24689.09375
429,429,17566.173828125,24489.560546875
430,430,29658.71484375,20726.771484375
431,431,20130.63671875,11120.27734375
432,432,29829.251953125,20746.798828125
433,433,14926.1640625,24492.94140625
434,434,21445.39453125,20168.150390625
435,435,3172.94921875,24371.05859375
436,436,5077.22412109375,25936.900390625
437,437,23246.20703125,20096.5546875
438,438,15089.1181640625,14331.830078125
439,439,5343.6689453125,11843.119140625
440,440,4285.25146484375,13042.3134765625
441,441,12386.81640625,25455.892578125
442,442,12285.7626953125,13769.0673828125
443,443,24309.51953125,21692.375
444,444,18522.4453125,21586.689453125
445,445,14160.2314453125,12581.7353515625
446,446,22027.568359375,21502.501953125
447,447,5952.25146484375,24845.51953125
448,448,15381.146484375,27552.96484375
449,449,9793.3203125,27934.267578125
450,450,16088.4609375,20864.1953125
451,451,28012.46484375,19313.51953125
452,452,26297.037109375,11264.9658203125
453,453,8348.8125,17358.84375
454,454,22090.751953125,21232.56640625
455,455,9752.052734375,26214.896484375
456,456,3354.84326171875,12359.41796875
457,457,8012.64501953125,15232.830078125
458,458,24754.619140625,21162.6875
459,459,23914.39453125,19053.640625
460,460,7495.931640625,25338.11328125
461,461,16440.044921875,25824.875
462,462,21744.208984375,24466.1796875
463,463,11171.466796875,20122.91015625
464,464,16355.419921875,27242.46875
465,465,14912.1044921875,20223.01171875
466,466,16810.134765625,16440.05078125
467,467,14377.615234375,16803.45703125
468,468,28290.81640625,28134.375
469,469,20254.2578125,21068.146484375
470,470,6429.125,19233.53515625
471,471,5613.4560546875,12197.5302734375
472,472,24418.1875,20542.654296875
473,473,10237.4609375,17393.21484375
474,474,16135.98046875,20379.48046875
475,475,6696.556640625,16891.71484375
476,476,21446.5234375,19103.625
477,477,23334.4609375,20325.96484375
478,478,24837.5859375,26226.53125
479,479,10310.236328125,14321.015625
480,480,19120.86328125,21051.208984375
481,481,9843.05859375,29082.34765625
482,482,22824.84375,19259.05078125
483,483,18061.953125,21045.40234375
484,484,20001.521484375,18628.462890625
485,485,27159.5390625,18665.03125
486,486,17351.302734375,18628.736328125
487,487,13957.16015625,13735.41015625
488,488,27947.0,17521.779296875
489,489,13496.8564453125,19552.1875
490,490,11317.466796875,23795.751953125
491,491,12597.6064453125,27630.88671875
492,492,18295.552734375,16267.162109375
493,493,22415.005859375,21927.896484375
494,494,16493.765625,15603.55078125
495,495,9088.630859375,27858.01953125
496,496,21202.73828125,20451.171875
497,497,15064.111328125,21289.85546875
498,498,11477.3310546875,16887.0
499,499,16472.7890625,15908.099609375
500,500,14930.369140625,23038.54296875
501,501,13464.212890625,25555.32421875
502,502,14740.302734375,26742.68359375
503,503,26664.5703125,19822.068359375
504,504,8012.357421875,13239.046875
505,505,8583.1259765625,13390.4580078125
506,506,29499.48828125,13192.609375
507,507,18712.423828125,24596.57421875
508,508,14635.640625,14133.4111328125
509,509,14143.67578125,15223.072265625
510,510,3569.64453125,26601.830078125
511,511,8799.0361328125,13330.806640625
512,512,15168.6259765625,27721.447265625
513,513,23060.076171875,19173.4140625
514,514,7167.00244140625,13300.09765625
515,515,30702.859375,29302.52734375
516,516,18019.80078125,21757.5
517,517,10339.2998046875,27309.865234375
518,518,20214.82421875,20871.541015625
519,519,21730.984375,25897.57421875
520,520,19039.6796875,20235.35546875
521,521,19251.33203125,24262.833984375
522,522,9348.20703125,13430.931640625
523,523,12206.5693359375,14255.9775390625
524,524,31669.5859375,19509.015625
525,525,10246.681640625,17856.5859375
526,526,23851.701171875,18730.8359375
527,527,12516.9013671875,22188.49609375
528,528,7376.515625,14267.328125
529,529,25683.68359375,20553.380859375
530,530,24718.45703125,20210.216796875
531,531,21796.470703125,18665.279296875
532,532,5109.3515625,12030.908203125
533,533,4328.87353515625,12048.5166015625
534,534,7077.2294921875,20867.19921875
535,535,7734.49658203125,15238.6708984375
536,536,8585.3759765625,13768.9130859375
537,537,17899.328125,20357.87109375
538,538,13897.7490234375,16283.458984375
539,539,13464.71484375,17333.564453125
540,540,10742.419921875,21369.60546875
541,541,11498.646484375,26044.7109375
542,542,16627.490234375,23804.14453125
543,543,19371.953125,25115.74609375
544,544,20298.685546875,25823.998046875
545,545,20822.3828125,18760.525390625
546,546,11360.0458984375,25854.6015625
547,547,8297.814453125,14895.578125
548,548,15962.2822265625,21586.48828125
549,549,15156.0771484375,24961.869140625
550,550,11619.1318359375,17252.58984375
551,551,31981.88671875,18589.146484375
552,552,18054.43359375,11987.724609375
553,553,31832.58984375,12026.271484375
554,554,19332.9375,18993.58984375
555,555,8564.0107421875,20366.3125
556,556,6672.353515625,26898.6640625
557,557,16266.16015625,16075.41796875
